id,Prompt,NEW_MODEL_NAME_HERE
TB_365,كيفاش نعمل اصحاب جدد؟,
TB_366,كيفاش نقول منحبش نخرج معاكم بلطف؟,
TB_367,الدوش بالماء البارد يعاون بعد الرياضة ؟,
TB_368,كيفاش نعمل جو مع اختي في الدار وحدنا؟,
TB_369,طريقة لتحضير براونيز بدون فرن,
TB_370,فهمني SQL,
TB_371,اوقات الصلاة في تونس,
TB_372,شنو الماكة لي فيها المانزيوم؟,
TB_373,كيفاش نحسن من قدراتي في التواصل ؟,
TB_374,شنو تعرف عليا؟,
TB_375,علاش كيف نزيدو في الباهي يخياب أما كي نزيدو فى الخايب يرجع أخيب و ما يرجعش باهي ؟,
TB_376,كفاش تكون العالم ؟,
TB_377,كيفاه يخدم الذكاء الإصطناعي ؟,
TB_378,علاش فما شر في الدنية ؟,
TB_379,علاش الناس عندها أحاسيس ؟,
TB_380,لخصلي تاريخ الحضارة الإغريقية,
TB_381,علاش ما فما حتا حاجة أسرع مل الضوء ؟,
TB_382,اكتبلي كفاه بدات الدنية حتى لوقتنا توة,
TB_383,كفاه يتكون الهواء ؟,
TB_384,كيفاه الخلاية لي في وسط البدن تعرف كيفاه تتصرف ؟,
TB_385,قائمة البلدان المتخلية عن الاتحاد الاوروبي؟,
TB_386,كيفاش نجم نولي ذكي,
TB_387,جيل المنتخب القومي 2004,
TB_388,هل يعتبر الذكاء ميزة,
TB_389,لواش عملنا ثورة,
TB_390,منافع المورينغا,
TB_391,شنوا الافرق بين المعجزة المحمدية و المعجزات الاخرى,
TB_392,هل يعتبر اولاد مفيدة مسلسل فساد,
TB_393,حروف مركب الجر,
TB_394,كيفاش انحي التفكير الزائد,
TB_395,شنو انجم انخرج من قطاع الخردة الي عندي,
TB_396,شنو هي ديانة الثليما,
TB_397,زعما هتلر انتحر ولا قتلوه,
TB_398,شنو اسهل حاجة انجم انتيبها,
TB_399,نلبس نصف يد و الا يدين طوال,
TB_400,نمشي انبحر؟,
TB_401,ماهي اكثر اللغات تحدثا في العالم؟,
TB_402,كيف تحتفل الثقافات المختلفة برأس السنة ؟,
TB_403,ما هي بعض التقنيات الفعالة لإدارة التوتر؟,
TB_404,ما هي بعض البرامج التلفزيونية الشهيرة للمشاهدة في عام 2024؟,
TB_405,ما هي فوائد بدء عمل تجاري صغير؟,
TB_406,من هو أشهر مغني في العالم حاليًا؟,
TB_407,ما هي أفضل الأفلام التي يجب مشاهدتها في الخيال العلمي ؟,
TB_408,كيف أتعلم مهارة جديدة بسرعة؟,
TB_409,كيف يمكنني تعلم لغة جديدة بشكل فعال؟,
TB_410,شبيك ساعات بهيم,
TB_411,كيفاش نلم ثروة في تونس,
TB_412,شنوا الخدمة لي فيها برشا فلوس,
TB_413,شنوا لازمني نتعلم بس نبني career باهي,
TB_414,أنت شكون,
TB_415,كيفاش نريفز 10 ماتيارات في ليلة,
TB_416,كيفية التخلص من ai,
TB_417,علاش السماءً زرقاء و الشمس صفراء و السمك يسبح في الماء,
TB_418,مريم عندها 12 شكلاطا اكثر من احمد. احمد عندو 6 شكلاطا اكثر من مروان. مريم عندها دوبل الشكلاطا متع مروان. احمد قداش عندو شكلاطا؟,
TB_419,أعطيني قصة تضحك تحكي على سفيان الشاعري و السفر في البحر,
TB_420,اعملي حوار ب 3 ادوار بينات واحد يخدم في كاسا و حريف. كل واحد عندو 3 ادوار. قلي كل واحد شنوا قال,
TB_421,اعمل شعر عالشمس و القمرة,
TB_422,"هل سيرل يخمم إنّ الذكاء الاصطناعي ينجم يفكّر؟ فسّر مستند على الأسباب اللي تقالت في هالنص.
النص:
""تجربة سيرل الفكرية تبدا بفرضية افتراضية: نفترض إنّ أبحاث الذكاء الاصطناعي نجحت وصنّعت كومبيوتر يتصرّف كيف لو يفهم الصينية. ياخذ رموز صينية كمدخلات، وعن طريق تعليمات برنامج كومبيوتر، يخرّج رموز صينية جديدة كمخرجات. نفترض، كيما يقول سيرل، إنّ الكومبيوتر هاذا يقوم بدوره بشكل مقنع لدرجة إنّه ينجح بارتياح في اختبار تورينغ: يقنع متحدّث صيني إنّ البرنامج نفسه إنسان حي يتكلّم الصينية. على كل سؤال يسأله الشخص، يعطي إجابات مناسبة، وأي متحدّث صيني باش يقتنع اللي يحكي مع شخص آخر يفهم الصينية. السؤال اللي سيرل يحب يجاوب عليه هو: هل الآلة تفهم الصينية بالمعنى الحرفي؟ ولا هو مجرّد يحاكي القدرة على الفهم؟ سيرل يسمي الموقف الأول ""الذكاء الاصطناعي القوي"" والموقف الثاني ""الذكاء الاصطناعي الضعيف"". بعدين سيرل يتخيل إنه موجود في غرفة مغلقة وعنده كتاب فيه نسخة بالإنقليزية من برنامج الكومبيوتر، ومعاه أوراق وأقلام وممحاة وخزاين ملفات. سيرل يقدر يستقبل رموز صينية من شقّ في الباب، ويعالجها حسب تعليمات البرنامج، ويخرّج رموز صينية، من غير ما يفهم محتوى الكتابة الصينية. لو كان الكومبيوتر نجح في اختبار تورينغ بالطريقة هذي، يعني سيرل بنفسو ينجم ينجح زادة بمجرد تطبيق البرنامج يدويًا. سيرل يقول ما فماش فرق جوهري بين دور الكومبيوتر ودورو هو في التجربة. كل طرف يتّبع برنامج خطوة بخطوة، ويعطي تصرّف يتح من المستعمل على أنّه محادثة ذكية. لكن سيرل نفسه ما يفهمش حتى كلمة صينية (كيما قال: ""انا ما نعرفش حتى كلمة صينية""). من هنا يستنتج إنّ الكومبيوتر زادة ما يفهمش. سيرل يعتبر إنه من غير فهم (ولا ""النية"" أو الإنشتينالية)، ما نقدروش نوصفو اللي تعملو الآلة بأنه ""تفكير"". وبما إنه ما يفكّرش، فهو ما عندوش ""عقل"" بالمعنى العادي للكلمة. وبالتالي، يقول سيرل إنّ فرضية ""الذكاء الاصطناعي القوي"" غالطة.""",
TB_423,"قلي شيعمل الكود هاذا import json csv_file = open('csv_file.txt', 'r') json_list = [] for line in csv_file.readlines(): club, city, country = line.strip().split(',') json_dict = {'club': club, 'city': city, 'country': country } json_list.append(json_dict) csv_file.close()",
TB_424,"تنجم تلوجلي الحاجات الغالطا غي الكود هاذا؟ اعطيني الكود الصحيح في اللخر? function countVowels(str) { let vowels = ['a', 'e', 'i', 'o', 'u']; let count = 0; for (let i = 0; i < str.length; i++) { if (vowels.includes(str[i])) { count++; } } return count; }",
TB_425,نحبك تحملي رسالة تقاعد للرئيس متاعي. اسمي أنور شركة متاعي: تونيسار. رتبة:محلل معلومات اسم الرئيس : محمد. اخر نهار : بعد جمعتين من ليوما(ليوما 02/10/2023(,
TB_426,"بن علي هو الرئيس نومرو ""أ"". شنوا تطلع ""أ"". ",
TB_427,اعطيني قصة تخوف ب اربعا جمل تحكي عالنوم,
TB_428,تونس تستعمل الفارنهيت والا السلسيس,
TB_429,"اعطيني قصة تافها استعمل فيها الكلمات هاذم : الأرض , فضائي,حوت",
TB_430,قداش بعد القمرة عالأرض,
TB_431,"قلي شنوا الميساج في الايميل هاذا: إيميل: خرجت مع القديم, دخل مع الجديد💫 نهار الثنين, 13 فيفري, بش نودعو العمل الجماعي القديم. وقتلي العمل الجماعي القديم خدم خمتو, توا فرحانين بش نعطيو كل مستعملي العمل الجماعي حاجا جديدا تعاون تعمل خدما مركزا و برودكتيف اكثر, وترد خدمتك تضهر احسن! ميزلت ما بدلتش؟ ميزال عندك الفرصة بش تبدل قبل نهار ثنين الجاي. بدل في حسابك و تا تلقا روحك حاضر للعمل الجماعي الجديد!,",
TB_432,"شانب باش يجرّب أوّل طبق نباتي عندو: ساندويتش بالقرنبيط. الساندويتش الجديد يشبه برشة ساندويتش الدجاج المشهور متاعهم، لكن يستعملو قرنبيط مغطّى و مطبوخ بالضغط بدل اللحم. ابتداءً من نهار الإثنين، هالمطعم الخاصّ، اللي يصنّف من كبار المطاعم في تونس حسب المبيعات، بش يجرّب الطبق هاذا في فرعه في سوسة وكم شعبة أُخرى في الساحل التونسي. شانب يقول راهو يخدم على ساندويتش نباتي تقريب أربع سنين، في نفس الفترة اللي برشة مطاعم شهيرة في العالم ولّت تغيّر في القوايم متاعها ببدائل نباتية. أمّا هالبدائل النباتية اللي تشبه اللحم الحقيقي قليت شعبيّتها بعد ما طلعت برشة في فترة الحجر الصحّي. شركات كبيرة كيما ""بيوند"" و""إيمبوسيبول"" خفّضو العمالة متاعهم بحوالي خمس قوتهم العاملة.

""فتّشنا في كل جانب من عالم الأكلات النباتية باش نلقاو العنصر المناسب للطبق النباتي متاعنا""، هكّا قال مسؤول المطبخ في شانب، ستوارت ترايسي، في بيان. ""كل مرّة نرجعو للقرنبيط كقاعدة أساسية للساندويتش.""

في العشر سنين الأخيرة، القرنبيط ولا بديل شعبي لبرشة أكلات مختلفة. تلقى ناس في المطاعم التونسية يقدمو قرنبيط مقلي مغطّى بصوص حار كبديل لأجنحة الدجاج، وشفناه زادا في أشكال جديدة كيما قرنبيط في شكل بريتزل، ولا مقطّع رقيق يستعملوه بديل للروز (الأرز).",
TB_433,بدلي الجملة هاذي لحاجا باهيا نجم نزيدها لقصة خيالية: الكائنات الفضائية جاو مالفضاء و سيطرو عالمدينة ,
TB_434,اعطيني فرضية لفيم يضحك,
TB_435,قارة انترتكا في القطب الشمالي والا القطب الجنوبي,
TB_436,شنوا اكبر هادر تاغ في HTML,
TB_437,شنوا حاجات باهيا نجمو نعملوها في توزر,
TB_438,اعملي قصة قصررة على طفلة صغيرة اسمها شيماء مشات في رحلة صيفية. اعملها بينات 2 و 4 فقرات,
TB_439,اعطيني برنامج يعمل الجمع متع الارقام لكل من 1 ل 100,
TB_440,اعطيني ليستا متع بلايص في تونس للصغار. حطهم في ليستا تبدا ب *. الإسم كاهو ماغير وصف بللهي,
TB_441,"عندي المكونات هاذي في الفريجيدار ""عضام, تن, هريسا,كمون,مقرونا فل,طماطم كعب و طماطم حكة"". شنوا نجم نطيب",
TB_442,اعطيني إجابة لللغز هاذا. معا شكون لعبت انس جابر كي ربحت المبارات؟,
TB_443,اكتبلي البداية متع القصة. لازم فيها 3 جمل. و فيها الكلمات هاذم: كتاب قهوة منبه. البطل مرا,
TB_444,بش نمشي لمنتزه دحدح في الصيف الجاي اعطيني ليستا بأحسن الدرجيحات غادي,
TB_445,اعطيني كيفاش نجمو نربحو كاس افريقيا في كرة القدم,
TB_446,"اعطيني شعر فيه نفس النغمة مع ""قبعة"". مش اكثر من 10 اسطر.حاول تعملها تشبه ابو القاسم الشابي",
TB_447,اعملي رسالة لواحد مالخداما متاعنا. استعمل المعلومات هاذي: اسم: ادم محسن . وضيفة: مساعد عمل من:2012-2022 شهرية:9.5 دينار في الساعة وضيفة يحب عليها: مدير اعمال في عزيزة,
TB_448,اكتب قصة قصيرة و جو على بطة صغيرة ضايعة في الغابة اما لقات الحب,
TB_449,احكي شعر على واحد ما يحبش يخرج مالدار بضمير الغائب. احكي فيها عالحاجات الخايبة متع تقعد وحدك ,
TB_450,اعمل ليستا متع حاجات يحبهم واحد عمرو 15 يحب يقعد كان في الدار,
TB_451,وقتاش مات شكري بلعيد؟,
TB_452,اعطيني ليستا متع حاجات مهمة ايا كاتب لازم يتبعهم كي يكتب حاجا معا تفسير,
TB_453,اعطيني رسالة نعطيها لواحد بش نشجعو يولي نباتي,
TB_454,"اعطيني كود بايثن نجم نعمل فيه الجمع متع ارقام من ""أ"" الى ""ب""",
TB_455,فما 68 كلب داخلين في مسابقة متع كلاب. فما 36 كلاب صغار اكثر مل الكلاب الكبار. قداه فما من كلاب صغار؟,
TB_456,وقتاش اول مرة استعملو البنسلين عالعباد؟,
TB_457,تنجم تفسرلي الكود هاذا؟ :def fibonacci(n): if n == 0: return 0 elif n == 1: return 1 else: return fibonacci(n-1) + fibonacci(n-2),
TB_458,"هل هذي لحظة باهية باش تستثمر في البيتكوين حسب التصريح هذا؟ أشرح علاش ايه ولا لا.
الوثيقة:
""البيتكوين عاش ثاني أفضل شهر جانفي من عشر سنين، والمزاج العام للمخاطرة قاعد يتحوّل لصالح هالعملة اللي كانت في مشكلة قبل. سعر البيتكوين طلع برشة (42٪)، بدا سنة 2023بحوالي 16600 دولار ووصل تاوة أكثر من 23500 دولار حتى نهار 2 فيفري. والأهم من هذا أنّ الوضع الاقتصاد الكلّو مشجّع زادة، مع مجلس الاحتياطي الفيدرالي (الفيد) اللي بدى يبطّأ في زيادات نسب الفائدة لمستوى 25 نقطة أساس في اجتماع الشهر هذا، رغم إنّ بعض الاقتصاديين يتوقعو إمكانية ركود اقتصادي.""",
TB_459,اعملي عنوان متع مسرحية كوميدية تحكي على زوز عباد من زوز فرق مختلفة في السبور ولاو يحبو بعضهم,
TB_460,زيد تعليقات للكود هذا بش نعرف كل تعليق شيعمل: #!/bin/bash date pwd ls mkdir new_directory cd new_directory cat file.txt,
TB_461,شنوا طرق مختلفة بش نعمل branch في ال git؟,
TB_462,"لخّص النص العلمي هذا في صيغة ""تي إل:دي آر"" (يعني خلاصة سريعة).
الملخّص:
""الفكرة الأساسية في التطور البيولوجي هي أنّ السكان والأنواع يتبدّلوا مع الوقت. اليوم، كي نفكرو في التطور، نربطوه غالبًا بشخص محدد: عالم الطبيعة البريطاني تشارلز داروين. في خمسينات القرن ١٩، داروين كتب كتاب مثير للجدل بعنوان (حول أصل الأنواع). فيه، اقترح أنّ الأنواع تتطوّر (كيما قال، تتحوّل ""بالنزول مع التعديل"")، وأنّ كل الكائنات الحيّة تقدر تتبع سلالتها لأصل مشترك. زادا اقترح آلية للتطور: الانتخاب الطبيعي، وين الصفات الموروثة اللي تعاون الكائن يعيش ويتكاثر تولي أكثر انتشار في المجموعة مع الوقت.""",
TB_463,"عاود كتابة النص هاذا في صيغة تغريدة.
النص:
""إستراتيجية العمل في أبسط شكلها هي أداة تعاونك تحقّق أهدافك في البزنس. الإستراتيجية تعطيك المبادئ اللي ترشد قرارات تنظيمية برشة، كيما وقت تعيّن موظّفين جدُد ولا تطوّر منتجات جديدة، وتعاونك تحدّد الطرق والتكتيكات اللي تلزمك تاخذهم في شركتك. إنّك تعمل إستراتيجية للبزنس متوافقة مع الرؤية متاعك للمؤسسة حاجة تستهلك وقت. ورغم إنّو مفهوم الإستراتيجية باهي نظريًا، إنّك تطوّر إستراتيجية جيّدة وتطبّقها فعليًا موش حاجة سهلة.""",
TB_464,قلي عل اقل 5 انواع متع ماكلا نجم ناكلها بش نولي صحي و نقص وزن. رتبهملي بالابجدية والليستا اعملها منضمة بالارقام,
TB_465,احسن بلايص نجم نمشي فيهم شهر عسل في تونس,
TB_466,ليستا متع احسن المبارايات متع المنتخب التونسي,
TB_467,"من هالمعطى، لخّص شنوة هو الارتباط في 2-3 جمل بسيطة وسهلة الفهم.
الإدخال:
""في الإحصاء، الارتباط هو أي علاقة إحصائية، سواء كانت سبب ولّا لا، بين متغيرين عشوائيين ولا بيانات ثنائية. ولو في أوسع المعاني، ""الارتباط"" ينجم يدلّ على أي نوع من الارتباط، إلّا أنّه في الإحصاء عادة يشير لدرجة العلاقة الخطية بين زوج متغيرات. أمثلة معروفة على الظواهر المرتبطة: العلاقة بين طول الوالدين والأبناء، والعلاقة بين سعر سلعة والكمية اللي المستهلك حاب يشتريها، كيما مبين منحنى الطلب. الارتباطات مفيدة خاطرها تنجّم تورّي علاقة تنجم نتنبّأ بيها عمليًا. مثال: شركة كهرباء تنجّم تنتج كهرباء أقل في نهار معتدل كيما يورّي الارتباط بين الطلب عالكهرباء والجو. في المثال هذا، فمّا علاقة سببية، خاطر الجو المتطرّف يخلّي الناس يستعملو أكثر تدفية أو تبريد. أما عمومًا، وجود الارتباط لا يكفي باش نقولو إنّو فما علاقة سبب ونتيجة (يعني الارتباط ما يعنيش السببية).""",
TB_468, اعطيني ليستا متع خمر احمر يجي باهي معا لحم الضلع. استعمل أ/.ب/.ج/. كرؤوس أقلام,
TB_469,"اعطيني جافاسكريبت كود تعمل iframe ما يتراش للexample.com/things. اعطيه ID و زيدو في الCSS ""help-centre.""خلي تعليقات",
TB_470,"عطيني تلخيص بزوز جملات للحوار هاذا: احمد:اهلا صاحبي! شتعمل الأحد هاذا؟ منير:نتصور شنقعد فالدار نتفرج في الكورة اني و صاحبتي, و انت شنوا شتعمل؟أحمد:بش نبرمج حفلة متع كورة, صحاب قراب كاهو. شنستدعي خالد و صاحبتو زادا.تحب تجي؟ منير:باهي صاحبي!شنوا نجيب معايا؟ نعرفك تحب اللوبيا الحارا متاعي. أحمد:ايه باهي! بالك شوية بيرا زادا؟ منير:بالطبيعة. نشوفك نهار الأحد صاحبي. التلخيص:",
TB_471,اعملي شعر من الجاهلية على مرا شباب,
TB_472,اعطيني كود جافاسكريبت يحسب المجموع متع الارقام اللي نعطيها,
TB_473,"بناءً على النص التالي، هل منافع تدخين السجائر أكبر من المخاطر؟ أشرح كيفاه وصلت للاستنتاج هذا.
النص:
""يقولو إنّ التدخين ينجم ينقص السترس بشكل كبير، ويعاون الواحد يرتاح ويركّز ويقوّي النفسية. التدخين ينجم زادا يكون طريقة باهية باش نتحكّم في ضغط الدم في بعض الحالات. والتدخين كيفية باهية باش تنقص احتمالية السمنة، وباش تكون فاتحة حوار في المواقف الاجتماعية. في المقابل، التدخين ثبت علميًا إنّه يسبّب السرطان، أمراض القلب، الجلطة، أمراض الرئة، السكري، وداء الانسداد الريوي المزمن (يشمل النفاخ والالتهاب الشعبي المزمن). زادا يزيد خطر السل وبعض أمراض العيون ومشاكل في المناعة كيما التهاب المفاصل الروماتويدي.""",
TB_474,اكتبلي مقدمة متع فيلم تشويق,
TB_475,"لخّص الفقرة العلمية هذي في جملتين:
""الدوبامين نوع من الناقلات العصبية المونوامينية. يتصنّع في المخ ويشتغل كرسول كيميائي، يبعث رسايل بين الخلايا العصبية في المخ وبين المخ وبقية البدن. الدوبامين كيف كيف يعمل كهرمون. الدوبامين والإبينفرين والنورإبينفرين هما الكاتيكولامينات الرئيسية (التسمية جاية من تشابه في التركيبة الجزيئية). الهرمونات هذي تتصنّع في الغدة الكظرية، غدة صغيرة فوق كل كلية. الدوبامين زادا هو هرمون عصبي يفرزو الوطاء (الهايبوثالامس) في المخ.""",
TB_476,اعملي قصة ب3 جمل تحكي على كيفاش ربحنا البطولة باحسن هدف,
TB_477,اعطيني ليستا مرقمة ب10 بلايص متع تمشي في منتزه عين دراهم,
TB_478,فسرلي بكلام لايمان كيفاه الكورة المعوجة تتعوج كي ترميها,
TB_479,اصنعلي شعر ياباني عالأزهار في حقل للأزهار,
TB_480,"كمل الحوار هذا بين واحد يخدم و حريف. الحريف: اهلا وينك, لاباس عليكم. عندي مشلة حاشتي بشكون يعاوني. الخدام: اهلا. مرحبا بيك. شنوا المشكل مالا؟ الحريف:مانجمش ندخل للحساب متاعي",
TB_481,اما حشرة تنجم تاكل اللوح و تكسرلك دارك,
TB_482,فسلي كيفاش الصاروخ يمشي للفضاء احسبني صغير عمري 5 سنوات,
TB_483,ردلي الجملة هاذي محترمة اكثر : يا خرا كنت ناكل و انتي تطلب على بعضو يا زحي,
TB_484,علاش تغطي فمك كي تكح,
TB_485,"اعملي رسالة لمنصب موضف في مكتبة. ما خدمتش في المنصب هاذا قبل. هو حاجات تنجم تستعملهم: اسم: مريم فرع:مكتبة المنستير قرايا: جامعة و اجازا في علم الاعصاب. خبرة:خدمة عملاء. :تنضيم اوراق, تنضيم كتب و ادواة. تليفون: (123) 456-7891 ايميل:donatella@email.com",
TB_486,اعملي قصة مش اكثر من 15 جملة تحكي على السفر عبر الزمن و الكائنات الفضائية,
TB_487,"اعطيني ملخّص سريع للورقة التالية:
""الكتاب هذا نص عام يتناول مشاكل التنمية الاقتصادية. يحب يستعمل ادوات نظرية الاقتصاد الكلاسيكي والنئوكلاسيكي باش يفسّر مشاكل التنمية الاقتصادية، وفي نفس الوقت يعتمد ع عقود من الدراسات التطبيقية. يشوف تجارب بلدان نامية مختلفة في المواضيع اللي يناقشها، كيما الصين، كوريا الجنوبية، البرازيل، سريلانكا، الهند، كينيا، اندونيسيا، تانزانيا، كولومبيا، البيرو، ماليزيا، والمكسيك. الجزء الأول من الكتاب يعرّف مفهوم التنمية وطريقة قياسها وبعض النظريات اللي تحاول تفسّرها، ونظرة للبيانات اللي جمعناها باش نعرّف التنمية وقت تصير. يحتوي زادا فصل ع السوق ضدّ التدخّل كطرق لتوجيه التنمية. الجزء الثاني يحكي ع مساهمة الموارد البشرية في التنمية، فيه فصول ع السكان، العمل، التعليم، والصحة. راس المال، اللي هو المدخل الفيزيكي الرئيسي الثاني في النمو، نحكيو عليه في الجزء الثالث، اللي يتناول الادخار والاستثمار، السياسة الجبائية، السياسة المالية، المعونة الاجنبية والاستثمار. الفرص اللي توفّرها التجارة الدولية نلقاوها في الجزء الرابع، والجزء الخامس يطبّق الافكار اللي طوّرناها قبل على القطاعات الرئيسية في الاقتصاد: الفلاحة، الموارد الطبيعية، والصناعة.""",
TB_488,"""أرسلت مفوضية الانتخابات الفيدرالية مراسلة للنائب الجمهوري عن نيويورك جورج سانتوس تأمرو يعلن رسميًا إنه ناوي يترشّح مرة اخرى في 2024، خاطر جمع فلوس كافية بعد انتخابات النصّف في نوفمبر باش تجبروه يقدّم ملف. في الرسالة، المفوضية تطلب من سانتوس ""يا إما ينفي الأنشطة هذي بالكتابة ويقول إنه موش مترشح، ولا يعيد تعيين اللجنة الرئيسية لحملتو ويقدّم بيان الترشّح"". حسب مراجعة سجلّات سانتوس، لقات المفوضية إنّ لجنة حملتو ""ما عندهاش ديون من الدورة الانتخابية السابقة وقبلت تبرعات وصرفت فلوس دعماً لحملتك 2024 أكثر من 5000 دولار، وهذا يخلّيك تنطبق عليك تعريف 'مرشّح' حسب قوانين تمويل الحملات"". سانتوس عندو حتى 14 مارس باش ينفّذ الطلب. الشي هذا يصير بينما النائب الجديد محاصر بفضيحة وممكن يواجه تحقيق في لجنة أخلاقيات المجلس النيابي، تحقيق ينجم يدمّر حياتو السياسية اللي صعّبتها المشاكل. مدة قصيرة قضاها في الكونغرس وغلبوها شكوك على كذبات متكررة حول خلفيتو وسيرتو الذاتية، وهذا أحدث مشكلة مع المفوضية الفيدرالية، اللي من قبل أثارت أسئلة ع تقارير تمويل حملتو، كيما قروض ومصاريف وأسماء مسؤولين في التقديمات. قوانين المفوضية تقول إنّ اي شخص جمع ولا صرف أكثر من 5000 دولار في حملة انتخابات فدرالية لازم يسجّل كمرشح في ظرف ١٥ يوم من الوصول للحد ذاك. واي مرشح، بما فيهم اللي راجعين كيما سانتوس، لازم يقدّم بيان ترشّح للمفوضية في كل دورة انتخابية. سجلّات سانتوس تبيّن إنه جمع وصرف عشرات الآلاف الدولارات من بعد انتخابات النصّف، وهو ما يتجاوز الحد المطلوب من المفوضية لتقديم بيان ترشّح. أغلب النواب يقدّمو بيان ترشّح للدورة الجاية على طول حتى لو ما عندهمش نية يترشّحو، باش ما يدخلوس في اشكال مع قوانين المفوضية. رغم إنّ سانتوس ما أعلنش رسميًا هل بش يترشّح 2024 ولا لا، إلّا إنّو ياخذ فلوس في حملتو حالياً، وهذا يفرض عليه يسجّل حملتو عند المفوضية للدورة.""",
TB_489,"اكتب جملة وحدة تلخّص النقطة الرئيسية من الخبر هاذا:
""كيف باقي الغرب، يوتا عندها مشكلة مع الما. اما الجفاف الكبير والاستهلاك الزايد ما يهدّدش كان الحياة البرية والفلاحة والصناعة هنا، بحيرة السالت لايك العظيمة اللي تختفي تنجم تسمّم ريات أكثر من 2.5 مليون شخص. كيف وصل مستوى المي للمعدل الأدنى في الاشهر اللي فاتو، 800 ميل مربع من قاع البحيرة ظهر - أرض فيها سموم طبيعية وبشرية كيما الزئبق والأرسنيك والسيلينيوم. وكي توة الطين هاذا يولّي غبرة وتتخلط مع الجو الملوّث في الشتا، العلماء يحذرو انّ المسطّح المائي الكبير ينجّم يتقسّم لبحيرات صغيرة ميتة في ظرف ٥ سنين، في طريقو إنه يولّي ""غبرة سامة كبيرة"". ""هاذا كارثة بيئية اللي باش تولّي كارثة صحية للبشر""، حذّرت بوني باكستر، مديرة معهد بحيرة السالت لايك في كلية وستمنستر في مدينة سولت لايك، يوتا. ""نعرفو ع عواصف الغبرة، ونعرفو تلوّث الجزيئات الصغيرة، ونعرفو المعادن الثقيلة وقداش مضرة بالناس""، قالت لـCNN. ""نشوفو أزمة قريبة.""",
TB_490,شنوا الجملة العادية في حلقة جافاسكريبت توريني كمية معينا متع وقت و توقف؟ فسرلي بمثال,
TB_491,علاش كي نلعبو ماتش في البلاد مش كيف نلعبوه في بلاد اخرا,
TB_492,اكتبلي رسالة لحريف طلب حاجا اما الحاجة هاكي معادش موجودا,
TB_493,"الجملة لي بش نعطيهالك تنجم تكون فيها برشا كلام ولا معقدا ولا مش واضحا. عاود اكتبها و رد كتيبتك واضحا. كي تنجم, اقسم الجمل المعقدة لبرشا جمل و نحي الكلام الزايد . كان عندك ايا سؤال على المعد متاعي ولا كان جاك لازم تزيد ولا تنقص في نطاق المشروع قلي.",
TB_494,"حلّل اختيار الكلمات والتعبيرات وعلامات الترقيم والكابيتاليزيشن في الإيميل المعطى. كيفاش ينجم القاري ياخذ انطباع على الكاتب؟ النبرات تشمل: مُحبط، اِتّهامي، قلق، فضولي، متفاجئ، معبّر على عدم الرضا، متواضع، رسمي، حازم، واثق، شاكر، قلقان، حزين، عفوي، نادم، مشجّع، أناني، فرحان، متفائل، ومتشوّق.
الإدخال:
 اهلا مروا, نشله تكون لاباس. نجمو نتلقاو بعد؟ مضابيا نشوفك شنوا تقلي عل بريزونتاسيون متاعي للاجتماع غدوا. كان تنجم تعاود تثبت ارقام المبيعات معايا.تا نعطيك قهوا.",
TB_495,"عاود إكتبلي النص هاذا و صلح غلاط القواعد و التهجئة و التنقيط:كان قتلي عام لتالي ليوم نكمل الماراثون, كنت نضحك. تشجيعك عملي فرشا أثر عليا!",
TB_496,"بش نعطيك اقتباس متع اوراق. حولها للنوع المطلوب متع اقتباس. شيكاغو:فسواني,اشيش,شزير,نوام,برمر,نيكي,اوزكوريت,جيكوب,جوناس,ليون,غوميز,ايدن ن.,كيسر,لوكاسز, و الليا بولوسوكهين. ""الإهتمام هو كل ما تريد"" arXiv, (2017). https://doi.org/10.48550/arXiv.1706.03762. MLA:",
TB_497,"خدمت البيرو لازمها برشا كتيبا متع ايميل, هاكا علاه نتعبو كي نعاودو كلامنا. اعطيني برشا كلام يشبه للكلمة لي بش نعطيهالك: كلمة: بإخلاص",
TB_498,"كان تنجم تعاوني نكتب إيميل لصحابي الكل نستدعيهم للعشا نهار الخميس, تعمل مزيا كبيرا. ",
TB_499,"النبرا متع الايميل لازم تتبدل و تعاود تكتبها بطريقة احترافية. موضوع: نسئل على عطلة عسلاما [موضف], نشله تكون لاباس. نكتبلك بش نسأل كان نجم ناخو نهار راحا [يوم]. ديجا تلاهيت بخدمتي للنهار هاكا و نجم نجاوب اياسؤال عندك. عيشك على وقتك[اسمك]",
TB_500,اعملي بوست متع مواقع تواصل إشتماعي بش إنادي ناس بش نتشاركو على بروجيات شاملا بطريقة مقنعة,
TB_501,احسن حاجا في شوفلي حل هيا:,
TB_502,تمرين باهي متع كتابا هوا تكتب قصة ماغير وصف. هذا يعاون تتعلم تستعمل كلام جديد و جمل توصف شنوا تحب تقول. هو ميثال:,
TB_503,اعطيني شنوا نكتب في الغوغل بش نلقا حاجات عل البرمجة,
TB_504,اعطيني اكثر اسئلة في stackOverflow على كلمات البحث هاذم. و اعطيني ليستا متع الURL متاعهم. البحث: كيفاش نحي حاجا مالجدول هاذا,
TB_505,بش نعطيك كود ولا كلام بحث عالكود. لوجلي علا كود عندو علاقا بالبحث هاكا. تدخيل: حلقة بيثن,
