Instruction,Topic
فكرة مفاجأة لعيد ميلاد,Social & Romantic Relationships
افكار لمقولات ايجابية و تحفيزية,Personal Development & Life Advice
شنيا نطيب ليوم كي يبدا عندي كان خضرة,Food & Cooking
شنية اكثر ولاية في تونس ينجح فيها الاستثمار,Money & Finance
وقتاش انتخابات تونس الجاية,Society & Current Affairs
اكتبلي غناية بالتونسي على الغربة,"Culture & Entertainment, Travel & Immigration"
اعملي ملخص عل تاريخ الاسلام في تونس,Religion & Beliefs
احكيلي نكتة بالتونسي تضحك,Languages & Translation
كيفاش تخلقت اللغة الدارجة في تونس,Languages & Translation
شكون اول رئيس تونسي شد بعد الاستعمار,"Society & Current Affairs, Culture & Entertainment"
اكتبلي ميساج للمعلم متع الدروس الخاصة بش نقلو لي انا مريضة بكل تربية و منجمش نجي,Education & Studying
اعملي سيناريو فيه برشا تشويق لمسلسل متع رمضان 30 حلقة,Culture & Entertainment
شنيا اسهل و احسن طريقة بش نتعلم لغة جديدة ؟,"Languages & Translation, Education & Studying"
علاه السماء زرقاء ؟,Science and Math
دبر عليّا فيلم نتفرجو و الا كتاب نقراه,"Education & Studying, Culture & Entertainment"
اعطيني معلومة جديدة,Education & Studying
اعطيني فكرة متاع كادو,Social & Romantic Relationships
شنية نجم ناكل ليوم,Food & Cooking
كيفاش نجم ننفيستي في فلوسي,Money & Finance
كيفاش نظم وقتي,Personal Development & Life Advice
كيفاش نموتفي روحي باش نترانا,"Personal Development & Life Advice, Health & Body"
شكونهم أشهر الكتّاب و الكاتبات في تونس؟,Culture & Entertainment
أعطيني أحسن مواقع بش نلقى خدمة باهية في تونس في أي مجال؟,"Personal Development & Life Advice, Technology & Digital Life"
كيفاش نتعامل مع عرف صعيب؟,"Social & Romantic Relationships, Personal Development & Life Advice"
أحسن و أسرع طريقة بش نتعلم التطييب؟,Food & Cooking
قداش من كوكب فما في العالم؟,Geography
كيفاش نجاوب عرفي بطريقة محترفة كي يطلب مني حاجة منحبش نعملها؟,"Social & Romantic Relationships, Personal Development & Life Advice"
شنيا أحسن مواقع نجّم نعمل بيهم سيرة ذاتية باهية بش نقدّم لأي خدمة؟,"Technology & Digital Life, Personal Development & Life Advice"
ماركات معروفة و باهية لمنتوجات متع شعر؟,Health & Body
أكثر قهاوي معروفين و مشكورين في تونس العاصمة؟,Culture & Entertainment
طريقة نتخلص بيها مالبخل و نكون انتاجية اكثر؟,Personal Development & Life Advice
شكون هز الكرة الذهبية عام 2003؟,Culture & Entertainment
كيفاش نصلح نومي؟,"Health & Body, Personal Development & Life Advice"
قداش فما من بلاد في افريقيا؟,Geography
قداش فما من سورة في القرآن؟,Religion & Beliefs
شكون ربح دوري الابطال عام 1996؟,Culture & Entertainment
هل مايك تايزن مسلم؟,"Culture & Entertainment, Religion & Beliefs"
اكتبلي فقرة قصيرة تحكي على جربة,Geography
هل شوفلي حل اقوى سيتكوم تونسي؟,Culture & Entertainment
قداش طول مضيق صقلية؟,Geography
تونس قداش فيها من ولاية,Geography
كيفاش نعمل اصحاب جدد؟,Social & Romantic Relationships
كيفاش نقول منحبش نخرج معاكم بلطف؟,Social & Romantic Relationships
الدوش بالماء البارد يعاون بعد الرياضة ؟,Health & Body
كيفاش نعمل جو مع اختي في الدار وحدنا؟,"Social & Romantic Relationships, Culture & Entertainment"
طريقة لتحضير براونيز بدون فرن,Food & Cooking
فهمني SQL,"Technology & Digital Life, Education & Studying"
اوقات الصلاة في تونس,Religion & Beliefs
شنو الماكة لي فيها المانزيوم؟,"Health & Body, Food & Cooking"
كيفاش نحسن من قدراتي في التواصل ؟,"Personal Development & Life Advice, Social & Romantic Relationships"
شنو تعرف عليا؟,Greetings & Small Talk
علاش كيف نزيدو في الباهي يخياب أما كي نزيدو فى الخايب يرجع أخيب و ما يرجعش باهي ؟,Other
كفاش تكون العالم ؟,Science and Math
كيفاه يخدم الذكاء الإصطناعي ؟,Technology & Digital Life
علاش فما شر في الدنية ؟,Society & Current Affairs
علاش الناس عندها أحاسيس ؟,Social & Romantic Relationships
لخصلي تاريخ الحضارة الإغريقية,Culture & Entertainment
علاش ما فما حتا حاجة أسرع مل الضوء ؟,Science and Math
اكتبلي كفاه بدات الدنية حتى لوقتنا توة,Science and Math
كفاه يتكون الهواء ؟,Science and Math
كيفاه الخلاية لي في وسط البدن تعرف كيفاه تتصرف ؟,"Science and Math, Health & Body"
قائمة البلدان المتخلية عن الاتحاد الاوروبي؟,Geography
كيفاش نجم نولي ذكي,"Education & Studying, Personal Development & Life Advice"
جيل المنتخب القومي 2004,Culture & Entertainment
هل يعتبر الذكاء ميزة,Education & Studying
لواش عملنا ثورة,Society & Current Affairs
منافع المورينغا,Health & Body
شنوا الافرق بين المعجزة المحمدية و المعجزات الاخرى,Religion & Beliefs
هل يعتبر اولاد مفيدة مسلسل فساد,Culture & Entertainment
حروف مركب الجر,Education & Studying
كيفاش انحي التفكير الزائد,Personal Development & Life Advice
شنو انجم انخرج من قطاع الخردة الي عندي,Other
شنو هي ديانة الثليما,Religion & Beliefs
زعما هتلر انتحر ولا قتلوه,Culture & Entertainment
شنو اسهل حاجة انجم انتيبها,Food & Cooking
نلبس نصف يد و الا يدين طوال,Personal Development & Life Advice
نمشي انبحر؟,Other
ماهي اكثر اللغات تحدثا في العالم؟,Languages & Translation
كيف تحتفل الثقافات المختلفة برأس السنة ؟,Culture & Entertainment
ما هي بعض التقنيات الفعالة لإدارة التوتر؟,Personal Development & Life Advice
ما هي بعض البرامج التلفزيونية الشهيرة للمشاهدة في عام 2024؟,Culture & Entertainment
ما هي فوائد بدء عمل تجاري صغير؟,"Money & Finance, Personal Development & Life Advice"
من هو أشهر مغني في العالم حاليًا؟,Culture & Entertainment
ما هي أفضل الأفلام التي يجب مشاهدتها في الخيال العلمي ؟,Culture & Entertainment
كيف أتعلم مهارة جديدة بسرعة؟,"Personal Development & Life Advice, Education & Studying"
كيف يمكنني تعلم لغة جديدة بشكل فعال؟,Languages & Translation
شبيك ساعات بهيم,Other
كيفاش نلم ثروة في تونس,"Money & Finance, Society & Current Affairs"
شنوا الخدمة لي فيها برشا فلوس,"Money & Finance, Personal Development & Life Advice"
شنوا لازمني نتعلم بس نبني career باهي,Personal Development & Life Advice
أنت شكون,Greetings & Small Talk
كيفاش نريفز 10 ماتيارات في ليلة,Education & Studying
كيفية التخلص من ai,Technology & Digital Life
علاش السماءً زرقاء و الشمس صفراء و السمك يسبح في الماء,Science and Math
مريم عندها 12 شكلاطا اكثر من احمد. احمد عندو 6 شكلاطا اكثر من مروان. مريم عندها دوبل الشكلاطا متع مروان. احمد قداش عندو شكلاطا؟,Science and Math
أعطيني قصة تضحك تحكي على سفيان الشاعري و السفر في البحر,Culture & Entertainment
اعملي حوار ب 3 ادوار بينات واحد يخدم في كاسا و حريف. كل واحد عندو 3 ادوار. قلي كل واحد شنوا قال,Culture & Entertainment
اعمل شعر عالشمس و القمرة,Education & Studying
"هل سيرل يخمم إنّ الذكاء الاصطناعي ينجم يفكّر؟ فسّر مستند على الأسباب اللي تقالت في هالنص.
النص:
""تجربة سيرل الفكرية تبدا بفرضية افتراضية: نفترض إنّ أبحاث الذكاء الاصطناعي نجحت وصنّعت كومبيوتر يتصرّف كيف لو يفهم الصينية. ياخذ رموز صينية كمدخلات، وعن طريق تعليمات برنامج كومبيوتر، يخرّج رموز صينية جديدة كمخرجات. نفترض، كيما يقول سيرل، إنّ الكومبيوتر هاذا يقوم بدوره بشكل مقنع لدرجة إنّه ينجح بارتياح في اختبار تورينغ: يقنع متحدّث صيني إنّ البرنامج نفسه إنسان حي يتكلّم الصينية. على كل سؤال يسأله الشخص، يعطي إجابات مناسبة، وأي متحدّث صيني باش يقتنع اللي يحكي مع شخص آخر يفهم الصينية. السؤال اللي سيرل يحب يجاوب عليه هو: هل الآلة تفهم الصينية بالمعنى الحرفي؟ ولا هو مجرّد يحاكي القدرة على الفهم؟ سيرل يسمي الموقف الأول ""الذكاء الاصطناعي القوي"" والموقف الثاني ""الذكاء الاصطناعي الضعيف"". بعدين سيرل يتخيل إنه موجود في غرفة مغلقة وعنده كتاب فيه نسخة بالإنقليزية من برنامج الكومبيوتر، ومعاه أوراق وأقلام وممحاة وخزاين ملفات. سيرل يقدر يستقبل رموز صينية من شقّ في الباب، ويعالجها حسب تعليمات البرنامج، ويخرّج رموز صينية، من غير ما يفهم محتوى الكتابة الصينية. لو كان الكومبيوتر نجح في اختبار تورينغ بالطريقة هذي، يعني سيرل بنفسو ينجم ينجح زادة بمجرد تطبيق البرنامج يدويًا. سيرل يقول ما فماش فرق جوهري بين دور الكومبيوتر ودورو هو في التجربة. كل طرف يتّبع برنامج خطوة بخطوة، ويعطي تصرّف يتح من المستعمل على أنّه محادثة ذكية. لكن سيرل نفسه ما يفهمش حتى كلمة صينية (كيما قال: ""انا ما نعرفش حتى كلمة صينية""). من هنا يستنتج إنّ الكومبيوتر زادة ما يفهمش. سيرل يعتبر إنه من غير فهم (ولا ""النية"" أو الإنشتينالية)، ما نقدروش نوصفو اللي تعملو الآلة بأنه ""تفكير"". وبما إنه ما يفكّرش، فهو ما عندوش ""عقل"" بالمعنى العادي للكلمة. وبالتالي، يقول سيرل إنّ فرضية ""الذكاء الاصطناعي القوي"" غالطة.""",Education & Studying
"قلي شيعمل الكود هاذا import json csv_file = open('csv_file.txt', 'r') json_list = [] for line in csv_file.readlines(): club, city, country = line.strip().split(',') json_dict = {'club': club, 'city': city, 'country': country } json_list.append(json_dict) csv_file.close()",Technology & Digital Life
"تنجم تلوجلي الحاجات الغالطا غي الكود هاذا؟ اعطيني الكود الصحيح في اللخر? function countVowels(str) { let vowels = ['a', 'e', 'i', 'o', 'u']; let count = 0; for (let i = 0; i < str.length; i++) { if (vowels.includes(str[i])) { count++; } } return count; }",Technology & Digital Life
نحبك تحملي رسالة تقاعد للرئيس متاعي. اسمي أنور شركة متاعي: تونيسار. رتبة:محلل معلومات اسم الرئيس : محمد. اخر نهار : بعد جمعتين من ليوما(ليوما 02/10/2023(,Legal & Administrative
"بن علي هو الرئيس نومرو ""أ"". شنوا تطلع ""أ"". ",Society & Current Affairs
اعطيني قصة تخوف ب اربعا جمل تحكي عالنوم,Culture & Entertainment
تونس تستعمل الفارنهيت والا السلسيس,
"اعطيني قصة تافها استعمل فيها الكلمات هاذم : الأرض , فضائي,حوت","Culture & Entertainment, Science and Math"
قداش بعد القمرة عالأرض,Science and Math
"قلي شنوا الميساج في الايميل هاذا: إيميل: خرجت مع القديم, دخل مع الجديد💫 نهار الثنين, 13 فيفري, بش نودعو العمل الجماعي القديم. وقتلي العمل الجماعي القديم خدم خمتو, توا فرحانين بش نعطيو كل مستعملي العمل الجماعي حاجا جديدا تعاون تعمل خدما مركزا و برودكتيف اكثر, وترد خدمتك تضهر احسن! ميزلت ما بدلتش؟ ميزال عندك الفرصة بش تبدل قبل نهار ثنين الجاي. بدل في حسابك و تا تلقا روحك حاضر للعمل الجماعي الجديد!,",Other
"شانب باش يجرّب أوّل طبق نباتي عندو: ساندويتش بالقرنبيط. الساندويتش الجديد يشبه برشة ساندويتش الدجاج المشهور متاعهم، لكن يستعملو قرنبيط مغطّى و مطبوخ بالضغط بدل اللحم. ابتداءً من نهار الإثنين، هالمطعم الخاصّ، اللي يصنّف من كبار المطاعم في تونس حسب المبيعات، بش يجرّب الطبق هاذا في فرعه في سوسة وكم شعبة أُخرى في الساحل التونسي. شانب يقول راهو يخدم على ساندويتش نباتي تقريب أربع سنين، في نفس الفترة اللي برشة مطاعم شهيرة في العالم ولّت تغيّر في القوايم متاعها ببدائل نباتية. أمّا هالبدائل النباتية اللي تشبه اللحم الحقيقي قليت شعبيّتها بعد ما طلعت برشة في فترة الحجر الصحّي. شركات كبيرة كيما ""بيوند"" و""إيمبوسيبول"" خفّضو العمالة متاعهم بحوالي خمس قوتهم العاملة.

""فتّشنا في كل جانب من عالم الأكلات النباتية باش نلقاو العنصر المناسب للطبق النباتي متاعنا""، هكّا قال مسؤول المطبخ في شانب، ستوارت ترايسي، في بيان. ""كل مرّة نرجعو للقرنبيط كقاعدة أساسية للساندويتش.""

في العشر سنين الأخيرة، القرنبيط ولا بديل شعبي لبرشة أكلات مختلفة. تلقى ناس في المطاعم التونسية يقدمو قرنبيط مقلي مغطّى بصوص حار كبديل لأجنحة الدجاج، وشفناه زادا في أشكال جديدة كيما قرنبيط في شكل بريتزل، ولا مقطّع رقيق يستعملوه بديل للروز (الأرز).",Food & Cooking
بدلي الجملة هاذي لحاجا باهيا نجم نزيدها لقصة خيالية: الكائنات الفضائية جاو مالفضاء و سيطرو عالمدينة,Culture & Entertainment
اعطيني فرضية لفيم يضحك,Culture & Entertainment
قارة انترتكا في القطب الشمالي والا القطب الجنوبي,Geography
شنوا اكبر هادر تاغ في HTML,Technology & Digital Life
شنوا حاجات باهيا نجمو نعملوها في توزر,Travel & Immigration
اعملي قصة قصررة على طفلة صغيرة اسمها شيماء مشات في رحلة صيفية. اعملها بينات 2 و 4 فقرات,Education & Studying
اعطيني برنامج يعمل الجمع متع الارقام لكل من 1 ل 100,Technology & Digital Life
اعطيني ليستا متع بلايص في تونس للصغار. حطهم في ليستا تبدا ب *. الإسم كاهو ماغير وصف بللهي,Culture & Entertainment
"عندي المكونات هاذي في الفريجيدار ""عضام, تن, هريسا,كمون,مقرونا فل,طماطم كعب و طماطم حكة"". شنوا نجم نطيب",Food & Cooking
اعطيني إجابة لللغز هاذا. معا شكون لعبت انس جابر كي ربحت المبارات؟,Culture & Entertainment
اكتبلي البداية متع القصة. لازم فيها 3 جمل. و فيها الكلمات هاذم: كتاب قهوة منبه. البطل مرا,Education & Studying
بش نمشي لمنتزه دحدح في الصيف الجاي اعطيني ليستا بأحسن الدرجيحات غادي,Culture & Entertainment
اعطيني كيفاش نجمو نربحو كاس افريقيا في كرة القدم,Culture & Entertainment
"اعطيني شعر فيه نفس النغمة مع ""قبعة"". مش اكثر من 10 اسطر.حاول تعملها تشبه ابو القاسم الشابي",Culture & Entertainment
اعملي رسالة لواحد مالخداما متاعنا. استعمل المعلومات هاذي: اسم: ادم محسن . وضيفة: مساعد عمل من:2012-2022 شهرية:9.5 دينار في الساعة وضيفة يحب عليها: مدير اعمال في عزيزة,Legal & Administrative
اكتب قصة قصيرة و جو على بطة صغيرة ضايعة في الغابة اما لقات الحب,Culture & Entertainment
احكي شعر على واحد ما يحبش يخرج مالدار بضمير الغائب. احكي فيها عالحاجات الخايبة متع تقعد وحدك,Personal Development & Life Advice
اعمل ليستا متع حاجات يحبهم واحد عمرو 15 يحب يقعد كان في الدار,Social & Romantic Relationships
وقتاش مات شكري بلعيد؟,Society & Current Affairs
اعطيني ليستا متع حاجات مهمة ايا كاتب لازم يتبعهم كي يكتب حاجا معا تفسير,Personal Development & Life Advice
اعطيني رسالة نعطيها لواحد بش نشجعو يولي نباتي,Personal Development & Life Advice
"اعطيني كود بايثن نجم نعمل فيه الجمع متع ارقام من ""أ"" الى ""ب""",Technology & Digital Life
فما 68 كلب داخلين في مسابقة متع كلاب. فما 36 كلاب صغار اكثر مل الكلاب الكبار. قداه فما من كلاب صغار؟,Science and Math
وقتاش اول مرة استعملو البنسلين عالعباد؟,Education & Studying
تنجم تفسرلي الكود هاذا؟ :def fibonacci(n): if n == 0: return 0 elif n == 1: return 1 else: return fibonacci(n-1) + fibonacci(n-2),Technology & Digital Life
"هل هذي لحظة باهية باش تستثمر في البيتكوين حسب التصريح هذا؟ أشرح علاش ايه ولا لا.
الوثيقة:
""البيتكوين عاش ثاني أفضل شهر جانفي من عشر سنين، والمزاج العام للمخاطرة قاعد يتحوّل لصالح هالعملة اللي كانت في مشكلة قبل. سعر البيتكوين طلع برشة (42٪)، بدا سنة 2023بحوالي 16600 دولار ووصل تاوة أكثر من 23500 دولار حتى نهار 2 فيفري. والأهم من هذا أنّ الوضع الاقتصاد الكلّو مشجّع زادة، مع مجلس الاحتياطي الفيدرالي (الفيد) اللي بدى يبطّأ في زيادات نسب الفائدة لمستوى 25 نقطة أساس في اجتماع الشهر هذا، رغم إنّ بعض الاقتصاديين يتوقعو إمكانية ركود اقتصادي.""",Money & Finance
اعملي عنوان متع مسرحية كوميدية تحكي على زوز عباد من زوز فرق مختلفة في السبور ولاو يحبو بعضهم,Culture & Entertainment
زيد تعليقات للكود هذا بش نعرف كل تعليق شيعمل: #!/bin/bash date pwd ls mkdir new_directory cd new_directory cat file.txt,Technology & Digital Life
شنوا طرق مختلفة بش نعمل branch في ال git؟,Technology & Digital Life
"لخّص النص العلمي هذا في صيغة ""تي إل:دي آر"" (يعني خلاصة سريعة).
الملخّص:
""الفكرة الأساسية في التطور البيولوجي هي أنّ السكان والأنواع يتبدّلوا مع الوقت. اليوم، كي نفكرو في التطور، نربطوه غالبًا بشخص محدد: عالم الطبيعة البريطاني تشارلز داروين. في خمسينات القرن ١٩، داروين كتب كتاب مثير للجدل بعنوان (حول أصل الأنواع). فيه، اقترح أنّ الأنواع تتطوّر (كيما قال، تتحوّل ""بالنزول مع التعديل"")، وأنّ كل الكائنات الحيّة تقدر تتبع سلالتها لأصل مشترك. زادا اقترح آلية للتطور: الانتخاب الطبيعي، وين الصفات الموروثة اللي تعاون الكائن يعيش ويتكاثر تولي أكثر انتشار في المجموعة مع الوقت.""",Science and Math
"عاود كتابة النص هاذا في صيغة تغريدة.
النص:
""إستراتيجية العمل في أبسط شكلها هي أداة تعاونك تحقّق أهدافك في البزنس. الإستراتيجية تعطيك المبادئ اللي ترشد قرارات تنظيمية برشة، كيما وقت تعيّن موظّفين جدُد ولا تطوّر منتجات جديدة، وتعاونك تحدّد الطرق والتكتيكات اللي تلزمك تاخذهم في شركتك. إنّك تعمل إستراتيجية للبزنس متوافقة مع الرؤية متاعك للمؤسسة حاجة تستهلك وقت. ورغم إنّو مفهوم الإستراتيجية باهي نظريًا، إنّك تطوّر إستراتيجية جيّدة وتطبّقها فعليًا موش حاجة سهلة.""",Personal Development & Life Advice
قلي عل اقل 5 انواع متع ماكلا نجم ناكلها بش نولي صحي و نقص وزن. رتبهملي بالابجدية والليستا اعملها منضمة بالارقام,"Food & Cooking, Health & Body"
احسن بلايص نجم نمشي فيهم شهر عسل في تونس,Travel & Immigration
ليستا متع احسن المبارايات متع المنتخب التونسي,Culture & Entertainment
"من هالمعطى، لخّص شنوة هو الارتباط في 2-3 جمل بسيطة وسهلة الفهم.
الإدخال:
""في الإحصاء، الارتباط هو أي علاقة إحصائية، سواء كانت سبب ولّا لا، بين متغيرين عشوائيين ولا بيانات ثنائية. ولو في أوسع المعاني، ""الارتباط"" ينجم يدلّ على أي نوع من الارتباط، إلّا أنّه في الإحصاء عادة يشير لدرجة العلاقة الخطية بين زوج متغيرات. أمثلة معروفة على الظواهر المرتبطة: العلاقة بين طول الوالدين والأبناء، والعلاقة بين سعر سلعة والكمية اللي المستهلك حاب يشتريها، كيما مبين منحنى الطلب. الارتباطات مفيدة خاطرها تنجّم تورّي علاقة تنجم نتنبّأ بيها عمليًا. مثال: شركة كهرباء تنجّم تنتج كهرباء أقل في نهار معتدل كيما يورّي الارتباط بين الطلب عالكهرباء والجو. في المثال هذا، فمّا علاقة سببية، خاطر الجو المتطرّف يخلّي الناس يستعملو أكثر تدفية أو تبريد. أما عمومًا، وجود الارتباط لا يكفي باش نقولو إنّو فما علاقة سبب ونتيجة (يعني الارتباط ما يعنيش السببية).""",Social & Romantic Relationships
اعطيني ليستا متع خمر احمر يجي باهي معا لحم الضلع. استعمل أ/.ب/.ج/. كرؤوس أقلام,Food & Cooking
"اعطيني جافاسكريبت كود تعمل iframe ما يتراش للexample.com/things. اعطيه ID و زيدو في الCSS ""help-centre.""خلي تعليقات",Technology & Digital Life
"عطيني تلخيص بزوز جملات للحوار هاذا: احمد:اهلا صاحبي! شتعمل الأحد هاذا؟ منير:نتصور شنقعد فالدار نتفرج في الكورة اني و صاحبتي, و انت شنوا شتعمل؟أحمد:بش نبرمج حفلة متع كورة, صحاب قراب كاهو. شنستدعي خالد و صاحبتو زادا.تحب تجي؟ منير:باهي صاحبي!شنوا نجيب معايا؟ نعرفك تحب اللوبيا الحارا متاعي. أحمد:ايه باهي! بالك شوية بيرا زادا؟ منير:بالطبيعة. نشوفك نهار الأحد صاحبي. التلخيص:",Other
اعملي شعر من الجاهلية على مرا شباب,Culture & Entertainment
اعطيني كود جافاسكريبت يحسب المجموع متع الارقام اللي نعطيها,Technology & Digital Life
"بناءً على النص التالي، هل منافع تدخين السجائر أكبر من المخاطر؟ أشرح كيفاه وصلت للاستنتاج هذا.
النص:
""يقولو إنّ التدخين ينجم ينقص السترس بشكل كبير، ويعاون الواحد يرتاح ويركّز ويقوّي النفسية. التدخين ينجم زادا يكون طريقة باهية باش نتحكّم في ضغط الدم في بعض الحالات. والتدخين كيفية باهية باش تنقص احتمالية السمنة، وباش تكون فاتحة حوار في المواقف الاجتماعية. في المقابل، التدخين ثبت علميًا إنّه يسبّب السرطان، أمراض القلب، الجلطة، أمراض الرئة، السكري، وداء الانسداد الريوي المزمن (يشمل النفاخ والالتهاب الشعبي المزمن). زادا يزيد خطر السل وبعض أمراض العيون ومشاكل في المناعة كيما التهاب المفاصل الروماتويدي.""",Personal Development & Life Advice
اكتبلي مقدمة متع فيلم تشويق,Culture & Entertainment
"لخّص الفقرة العلمية هذي في جملتين:
""الدوبامين نوع من الناقلات العصبية المونوامينية. يتصنّع في المخ ويشتغل كرسول كيميائي، يبعث رسايل بين الخلايا العصبية في المخ وبين المخ وبقية البدن. الدوبامين كيف كيف يعمل كهرمون. الدوبامين والإبينفرين والنورإبينفرين هما الكاتيكولامينات الرئيسية (التسمية جاية من تشابه في التركيبة الجزيئية). الهرمونات هذي تتصنّع في الغدة الكظرية، غدة صغيرة فوق كل كلية. الدوبامين زادا هو هرمون عصبي يفرزو الوطاء (الهايبوثالامس) في المخ.""",Science and Math
اعملي قصة ب3 جمل تحكي على كيفاش ربحنا البطولة باحسن هدف,Culture & Entertainment
اعطيني ليستا مرقمة ب10 بلايص متع تمشي في منتزه عين دراهم,Travel & Immigration
فسرلي بكلام لايمان كيفاه الكورة المعوجة تتعوج كي ترميها,Other
اصنعلي شعر ياباني عالأزهار في حقل للأزهار,Culture & Entertainment
"كمل الحوار هذا بين واحد يخدم و حريف. الحريف: اهلا وينك, لاباس عليكم. عندي مشلة حاشتي بشكون يعاوني. الخدام: اهلا. مرحبا بيك. شنوا المشكل مالا؟ الحريف:مانجمش ندخل للحساب متاعي",Social & Romantic Relationships
اما حشرة تنجم تاكل اللوح و تكسرلك دارك,Legal & Administrative
فسلي كيفاش الصاروخ يمشي للفضاء احسبني صغير عمري 5 سنوات,Science and Math
ردلي الجملة هاذي محترمة اكثر : يا خرا كنت ناكل و انتي تطلب على بعضو يا زحي,Other
علاش تغطي فمك كي تكح,Personal Development & Life Advice
"اعملي رسالة لمنصب موضف في مكتبة. ما خدمتش في المنصب هاذا قبل. هو حاجات تنجم تستعملهم: اسم: مريم فرع:مكتبة المنستير قرايا: جامعة و اجازا في علم الاعصاب. خبرة:خدمة عملاء. :تنضيم اوراق, تنضيم كتب و ادواة. تليفون: (123) 456-7891 ايميل:donatella@email.com",Legal & Administrative
اعملي قصة مش اكثر من 15 جملة تحكي على السفر عبر الزمن و الكائنات الفضائية,Science and Math
"اعطيني ملخّص سريع للورقة التالية:
""الكتاب هذا نص عام يتناول مشاكل التنمية الاقتصادية. يحب يستعمل ادوات نظرية الاقتصاد الكلاسيكي والنئوكلاسيكي باش يفسّر مشاكل التنمية الاقتصادية، وفي نفس الوقت يعتمد ع عقود من الدراسات التطبيقية. يشوف تجارب بلدان نامية مختلفة في المواضيع اللي يناقشها، كيما الصين، كوريا الجنوبية، البرازيل، سريلانكا، الهند، كينيا، اندونيسيا، تانزانيا، كولومبيا، البيرو، ماليزيا، والمكسيك. الجزء الأول من الكتاب يعرّف مفهوم التنمية وطريقة قياسها وبعض النظريات اللي تحاول تفسّرها، ونظرة للبيانات اللي جمعناها باش نعرّف التنمية وقت تصير. يحتوي زادا فصل ع السوق ضدّ التدخّل كطرق لتوجيه التنمية. الجزء الثاني يحكي ع مساهمة الموارد البشرية في التنمية، فيه فصول ع السكان، العمل، التعليم، والصحة. راس المال، اللي هو المدخل الفيزيكي الرئيسي الثاني في النمو، نحكيو عليه في الجزء الثالث، اللي يتناول الادخار والاستثمار، السياسة الجبائية، السياسة المالية، المعونة الاجنبية والاستثمار. الفرص اللي توفّرها التجارة الدولية نلقاوها في الجزء الرابع، والجزء الخامس يطبّق الافكار اللي طوّرناها قبل على القطاعات الرئيسية في الاقتصاد: الفلاحة، الموارد الطبيعية، والصناعة.""",Money & Finance
"""أرسلت مفوضية الانتخابات الفيدرالية مراسلة للنائب الجمهوري عن نيويورك جورج سانتوس تأمرو يعلن رسميًا إنه ناوي يترشّح مرة اخرى في 2024، خاطر جمع فلوس كافية بعد انتخابات النصّف في نوفمبر باش تجبروه يقدّم ملف. في الرسالة، المفوضية تطلب من سانتوس ""يا إما ينفي الأنشطة هذي بالكتابة ويقول إنه موش مترشح، ولا يعيد تعيين اللجنة الرئيسية لحملتو ويقدّم بيان الترشّح"". حسب مراجعة سجلّات سانتوس، لقات المفوضية إنّ لجنة حملتو ""ما عندهاش ديون من الدورة الانتخابية السابقة وقبلت تبرعات وصرفت فلوس دعماً لحملتك 2024 أكثر من 5000 دولار، وهذا يخلّيك تنطبق عليك تعريف 'مرشّح' حسب قوانين تمويل الحملات"". سانتوس عندو حتى 14 مارس باش ينفّذ الطلب. الشي هذا يصير بينما النائب الجديد محاصر بفضيحة وممكن يواجه تحقيق في لجنة أخلاقيات المجلس النيابي، تحقيق ينجم يدمّر حياتو السياسية اللي صعّبتها المشاكل. مدة قصيرة قضاها في الكونغرس وغلبوها شكوك على كذبات متكررة حول خلفيتو وسيرتو الذاتية، وهذا أحدث مشكلة مع المفوضية الفيدرالية، اللي من قبل أثارت أسئلة ع تقارير تمويل حملتو، كيما قروض ومصاريف وأسماء مسؤولين في التقديمات. قوانين المفوضية تقول إنّ اي شخص جمع ولا صرف أكثر من 5000 دولار في حملة انتخابات فدرالية لازم يسجّل كمرشح في ظرف ١٥ يوم من الوصول للحد ذاك. واي مرشح، بما فيهم اللي راجعين كيما سانتوس، لازم يقدّم بيان ترشّح للمفوضية في كل دورة انتخابية. سجلّات سانتوس تبيّن إنه جمع وصرف عشرات الآلاف الدولارات من بعد انتخابات النصّف، وهو ما يتجاوز الحد المطلوب من المفوضية لتقديم بيان ترشّح. أغلب النواب يقدّمو بيان ترشّح للدورة الجاية على طول حتى لو ما عندهمش نية يترشّحو، باش ما يدخلوس في اشكال مع قوانين المفوضية. رغم إنّ سانتوس ما أعلنش رسميًا هل بش يترشّح 2024 ولا لا، إلّا إنّو ياخذ فلوس في حملتو حالياً، وهذا يفرض عليه يسجّل حملتو عند المفوضية للدورة.""",Legal & Administrative
